path	classification	basis
api/gateway_chat.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/gateway_restart.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/gateway_watcher.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/goals.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/helpers.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/kanban_bridge.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/media_snapshots.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/metering.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/models.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/oauth.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/office_documents.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/onboarding.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/passkeys.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/paths.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/plugin_providers.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/plugins.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/process_event_utils.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/profiles.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/providers.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/request_diagnostics.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/request_logging.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/rollback.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/route_approvals.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/route_session_list_cache.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/routes.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/run_journal.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/runner_client.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/runtime_adapter.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/session_discoverability.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/session_events.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/session_export_html.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/session_lifecycle.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/session_ops.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/session_recovery.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/shares.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/skill_usage.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/sse_chunked.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/startup.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/state_sync.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/streaming.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/subprocess_utils.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/system_health.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/terminal.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/todo_state.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/turn_journal.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/updates.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/upload.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/usage.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/webui_session_db.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/workspace.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/workspace_git.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/worktrees.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
bootstrap.py	code/config/document content: review required	working-tree blob differs from HEAD
docker-compose.three-container.yml	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docker-compose.two-container.yml	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docker-compose.yml	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docker_init.bash	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/CONTRACTS.md	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/EXTENSIONS.md	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/GUIDELINES.md	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/ISSUES.md	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/UIUX-GUIDE.md	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/advanced-chat-setup.md	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/architecture/agent-api-contract.md	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/architecture/models-cache-invalidation.md	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/architecture/profile-home-resolve-cache.md	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/architecture/stable-assistant-turn-anchor-phase0.md	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/architecture/unified-session-db.md	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/docker.md	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/haos-branding-updater-policy.md	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/haos-compatibility-audit-20260922.md	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/images/pr-2458-board-selector-after.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/images/pr-2458-board-selector-before.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/images/pr-2919-clarify-after-desktop.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/images/pr-2919-clarify-before-desktop.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/images/pr-tool-read-range-label-after.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/images/pr-tool-read-range-label-before.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/images/ui-sessions.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/images/ui-workspace.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/images/update-banner-whats-new-after-summary-off.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/images/update-banner-whats-new-after-summary-on.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/images/update-banner-whats-new-after.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/images/update-banner-whats-new-before.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/onboarding-agent-checklist.md	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/onboarding.md	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-assets/restore-top-titlebar-after.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-assets/restore-top-titlebar-before.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1257/llm-wiki-status.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1321/update-network-error.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1362/claude-code-onboarding.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1362/codex-oauth-onboarding.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1406/eager-config-app-shell.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1451/raw-pre-render-validation.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1455/logs-tab-mvp.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1456/insights-before.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1456/insights-daily-tokens-models.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1459/dashboard-nav-link.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1640/tps-toggle-off-default.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1640/tps-toggle-on-hot-apply.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1640/tps-toggle-settings.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1688/chat-no-health-bar.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1688/insights-system-health.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1690/scroll-preserved-after-completion.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1698/workspace-double-click-rename.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1699/model-cache-auth-store-refresh.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1700/profile-switch-away-from-running-session.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1715/activity-focus-reload.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1716/active-elapsed-timer.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1725/activity-summary-after.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1725/activity-summary-before.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1765/codex-quota-error-collapsed.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1765/codex-quota-error-expanded.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1771/session-model-fallback.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1772/cli-tool-metadata-api-evidence.json	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1784/sidebar-scroll-fixture.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1784/sidebar-scroll-qa.json	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1785/workspace-preview-breadcrumb-before.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1785/workspace-root-breadcrumb-fixed.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1787/issue-1787-transcript-order.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1792/sidebar-first-turn-click-away-fixed.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1796/error-toast-after.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1796/error-toast-before.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1796/error-toast-copy.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1807/providers-api-openai-codex.json	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1807/providers-openai-codex-expanded.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1808/goal-autocomplete.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1808/goal-command-set.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1808/goal-status-command.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1820/no-agent-cron-edit.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1823/kanban-hard-refresh-diagnostic.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1832/auto-compression-running-card.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1834/compression-toast-visible.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1835/home-shell-normal.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1842/after-hover-no-workspace.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1842/before-hover-no-workspace.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1866/goal-evaluating-status.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1880/profile-skills-tab.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1955/after-workspace-menu.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/1955/before-workspace-menu.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2064/bulk-archive-confirm-desktop.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2064/bulk-delete-confirm-desktop.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2064/single-delete-confirm-desktop.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2064/single-delete-confirm-mobile-390.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2064/single-session-action-menu-desktop.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2103/daily-tokens-365-desktop.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2156/worktree-remove-confirm.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2156/worktree-remove-menu.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2210/after-mcp-tools-paginated.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2210/before-mcp-tools-unbounded.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2218/after-compact-prior-turns.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2218/before-compact-prior-turns.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2224/after-session-extra-large.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2224/before-session-large.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2231/after-phone-drawer-dark.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2231/before-phone-drawer-dark.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2246/after-question-highlight.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2246/after-question-jump-button.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2246/before-no-question-jump.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2250/skill-detail-after.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2250/skill-detail-before.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2289/cron-output-collapsed.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2289/cron-output-expanded.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2351/after-source-tabs.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2351/before-cli-mixed.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2449/after-thinking-copy.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2449/before-thinking-copy.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2518/PR_BODY.md	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2518/bench.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2518/new-conversation-idle.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2518/new-conversation-pending.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2540/model-endpoint-error-hint.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2548/fullpage_idle_dark_390.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2548/ptr_active_dark_1280.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2548/ptr_active_dark_1440.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2548/ptr_active_dark_1920.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2548/ptr_active_dark_390.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2548/ptr_active_light_1280.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2548/ptr_active_light_1440.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2548/ptr_active_light_1920.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2548/ptr_active_light_390.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2548/reload-btn_dark-hover_1280.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2548/reload-btn_dark-hover_1440.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2548/reload-btn_dark-hover_1920.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2548/reload-btn_dark-hover_390.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2548/reload-btn_dark_1280.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2548/reload-btn_dark_1440.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2548/reload-btn_dark_1920.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2548/reload-btn_dark_390.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2548/reload-btn_light-hover_1280.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2548/reload-btn_light-hover_1440.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2548/reload-btn_light-hover_1920.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2548/reload-btn_light-hover_390.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2548/reload-btn_light_1280.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2548/reload-btn_light_1440.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2548/reload-btn_light_1920.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2548/reload-btn_light_390.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2554/tree-indent-after.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2554/tree-indent-before.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2679/after-mobile-suggestions-hidden.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/2679/before-mobile-suggestions.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/463/status-command-card.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/500/session-list-virtualization-synthetic.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/539/plugins-panel.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/617/task-profile-badges.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/617/task-profile-selector.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/674/claude-code-import-readonly.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/693/system-health-panel.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/696/mcp-servers-system-panel.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/697/mcp-tools-search-filter.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/706/openrouter-quota-card.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/716/agent-health-alert.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/732/gateway-routing-before.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/732/gateway-routing-metadata.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/734/message-window-top.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/749/profile-create-after.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/749/profile-create-before.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/activity-disclosure/activity-expanded.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/activity-disclosure/activity-persisted-closed.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/appearance-endless-scroll-label/after-label.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/appearance-endless-scroll-label/before-label.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/catppuccin-issue-2426/catppuccin-dark.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/catppuccin-issue-2426/catppuccin-light.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/guard-skill-detail-errors/skill-detail-error-after.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
docs/pr-media/guard-skill-detail-errors/skill-detail-error-before.png	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
